TeamID;FirstName;Surname;Age;Position
4;Tammy;Abraham  ;24;forward
11;Che;Adams  ;25;forward
20;Tosin;Adarabioyo  ;24;defender 
1;Adrián;Adrián;34;goalkeeper
2;Adrián;Bernabé  ;20;midfielder
2;Sergio;Agüero  ;33;forward
20;Ola;Aina  ;25;defender 
7;Rayan;Aït Nouri ;20;defender 
19;Semi;Ajayi  ;27;defender 
2;Nathan;Aké  ;26;defender 
5;Marc;Albrighton  ;31;midfielder
6;Toby;Alderweireld  ;32;defender 
3;Alex;Telles  ;28;defender 
1;Trent;Alexander-Arnold  ;23;defender 
18;Ezgjan;Alioski  ;29;defender 
1;Alisson;Alisson;29;goalkeeper
12;Allan;Allan;30;midfielder
6;Dele;Alli  ;25;midfielder
13;Miguel;Almirón  ;27;midfielder
16;Frederik;Alves Ibsen ;21;defender 
15;Steven;Alzate  ;23;midfielder
5;Daniel;Amartey  ;26;midfielder
9;Ethan;Ampadu  ;21;defender 
16;Joseph;Anang  ;21;goalkeeper
20;Joachim;Andersen  ;25;defender 
13;Elliot;Anderson  ;18;midfielder
15;Florin;Andone  ;28;forward
12;André;Gomes  ;28;midfielder
20;André;Anguissa  ;25;midfielder
4;Faustino;Anjorin  ;19;midfielder
16;Michail;Antonio  ;31;forward
20;Alphonse;Aréola  ;28;goalkeeper
11;Stuart;Armstrong  ;29;midfielder
3;Arnau;Puigmal  ;20;midfielder
16;Harrison;Ashby  ;19;defender 
12;Ryan;Astley  ;20;defender 
13;Christian;Atsu  ;29;forward
8;Pierre-Emerick;Aubameyang  ;32;forward
6;Serge;Aurier  ;28;defender 
14;Jordan;Ayew  ;30;forward
18;Luke;Ayling  ;30;defender 
5;Ayoze;Pérez  ;28;forward
8;Miguel;Azeez  ;19;midfielder
4;Azpilicueta;Azpilicueta;32;defender 
3;Eric;Bailly  ;27;defender 
16;Fabián;Balbuena  ;30;defender 
9;George;Baldock  ;28;defender 
6;Gareth;Bale  ;32;forward
8;Folarin;Balogun  ;20;forward
18;Patrick;Bamford  ;28;forward
16;Jamal;Baptiste  ;17;defender 
10;Phil;Bardsley  ;36;defender 
17;Ross;Barkley  ;27;midfielder
10;Ashley;Barnes  ;31;forward
5;Harvey;Barnes  ;23;midfielder
17;Louie;Barry  ;18;forward
19;Kyle;Bartley  ;30;defender 
9;Chris;Basham  ;33;defender 
4;Lewis;Bate  ;18;midfielder
14;Michy;Batshuayi  ;28;forward
11;Jan;Bednarek  ;25;defender 
16;Saïd;Benrahma  ;26;forward
10;Josh;Benson  ;21;midfielder
14;Christian;Benteke  ;30;forward
18;Gaetano;Berardi  ;33;defender 
9;Sander;Berge  ;23;midfielder
6;Steven;Bergwijn  ;24;forward
12;Bernard;Bernard;29;forward
16;Bernardo;Rosa  ;21;midfielder
2;Bernardo;Silva  ;27;forward
11;Ryan;Bertrand  ;32;defender 
12;Muhamed;Bešić  ;29;midfielder
3;Nathan;Bishop  ;22;goalkeeper
15;Yves;Bissouma  ;25;midfielder
17;Lamare;Bogarde  ;17;midfielder
9;Jayden;Bogle  ;21;defender 
7;Willy;Boly  ;30;defender 
18;Ouasim;Bouy  ;28;midfielder
16;Jarrod;Bowen  ;24;forward
10;Robbie;Brady  ;29;midfielder
9;Rhian;Brewster  ;21;forward
17;Mungo;Bridge  ;21;defender 
12;Nathan;Broadhead  ;23;forward
10;Josh;Brownhill  ;25;midfielder
3;Bruno;Fernandes  ;27;midfielder
9;Zak;Brunt  ;19;midfielder
20;Joe;Bryan  ;28;defender 
9;Kean;Bryan  ;24;defender 
9;Oliver;Burke  ;24;forward
15;Dan;Burn  ;29;defender 
14;Jack;Butland  ;28;goalkeeper
19;David;Button  ;32;goalkeeper
4;Willy;Caballero  ;40;goalkeeper
14;Gary;Cahill  ;35;defender 
15;Moisés;Caicedo  ;19;midfielder
1;Jake;Cain  ;20;midfielder
20;Tom;Cairney  ;30;midfielder
