TeamID;FirstName;Surname;Age;Position
7;Rúben;Neves  ;24;midfielder
7;John;Ruddy  ;34;goalkeeper
4;Antonio;Rüdiger  ;28;defender 
7;Rui;Patrício  ;33;goalkeeper
8;Alex;Rúnarsson  ;26;goalkeeper
8;Mathew;Ryan  ;29;goalkeeper
13;Allan;Saint-Maximin  ;24;forward
7;Romain;Saïss  ;31;defender 
13;Henri;Saivet  ;30;midfielder
8;Bukayo;Saka  ;20;midfielder
14;Mamadou;Sakho  ;31;defender 
1;Mohamed;Salah  ;29;forward
11;Karim;Salisú  ;22;defender 
6;Davinson;Sánchez  ;25;defender 
2;Philippe;Sandler  ;24;defender 
17;Morgan;Sanson  ;27;midfielder
19;Romaine;Sawyers  ;29;midfielder
6;Dane;Scarlett  ;17;forward
13;Fabian;Schär  ;29;defender 
14;Jeffrey;Schlupp  ;28;midfielder
5;Kasper;Schmeichel  ;34;goalkeeper
18;Jamie;Shackleton  ;22;midfielder
1;Xherdan;Shaqiri  ;30;forward
9;Billy;Sharp  ;35;forward
3;Luke;Shaw  ;26;defender 
13;Jonjo;Shelvey  ;29;midfielder
3;Shola;Shoretire  ;17;forward
12;Gylfi;Sigurðsson  ;32;midfielder
6;Moussa;Sissoko  ;32;midfielder
12;Thierry;Small  ;23;defender 
11;Will;Smallbone  ;21;midfielder
8;Emile;Smith Rowe ;21;midfielder
19;Robert;Snodgrass  ;34;forward
17;Harrison;Sohna  ;24;midfielder
6;Heung-min;Son  ;29;forward
16;Tomáš;Souček  ;26;midfielder
5;Çağlar;Söyüncü  ;25;defender 
7;Andreas;Søndergaard  ;20;goalkeeper
20;Jay;Stansfield  ;18;forward
15;Jason;Steele  ;31;goalkeeper
17;Jed;Steer  ;29;goalkeeper
2;Zack;Steffen  ;26;goalkeeper
10;Dale;Stephens  ;32;midfielder
11;Jack;Stephens  ;27;defender 
2;Raheem;Sterling  ;26;forward
9;Enda;Stevens  ;31;defender 
1;Layton;Stewart  ;19;forward
5;Jakub;Stolarczyk  ;20;goalkeeper
2;John;Stones  ;27;defender 
18;Pascal;Struijk  ;22;defender 
5;Thanawat;Suengchitthawon  ;21;midfielder
17;Sil;Swinkels  ;17;defender 
17;Mamadou;Dialla Sylla ;19;midfielder
17;Michael;Tait  ;20;forward
6;Japhet;Tanganga  ;22;defender 
17;Matt;Targett  ;26;defender 
10;James;Tarkowski  ;28;defender 
15;Percy;Tau  ;27;forward
5;Sidnei;Tavares  ;20;midfielder
10;Charlie;Taylor  ;28;defender 
17;Neil;Taylor  ;32;defender 
11;Allan;Tchaptchet  ;19;defender 
11;Nathan;Tella  ;22;forward
20;Kenny;Tete  ;26;defender 
1;Thiago;Thiago;30;midfielder
4;Thiago;Silva  ;37;defender 
5;Luke;Thomas  ;20;defender 
10;Max;Thompson  ;19;forward
5;Youri;Tielemans  ;24;midfielder
8;Kieran;Tierney  ;24;defender 
14;James;Tomkins  ;32;defender 
14;Andros;Townsend  ;30;forward
19;Conor;Townsend  ;28;defender 
2;James;Trafford  ;19;goalkeeper
7;Adama;Traoré  ;25;forward
17;Bertrand;Traoré  ;26;forward
17;Trezeguet;Trezeguet;27;forward
15;Leandro;Trossard  ;26;forward
16;Nathan;Trott  ;22;goalkeeper
1;Kostas;Tsimikas  ;25;defender 
3;Axel;Tuanzebe  ;23;defender 
12;Harry;Tyrer  ;19;goalkeeper
5;Cengiz;Ünder  ;24;forward
14;Patrick;van Aanholt ;31;defender 
3;Donny;van de Beek;24;midfielder
1;Virgil;van Dijk ;30;defender 
5;Jamie;Vardy  ;34;forward
15;Joël;Veltman  ;29;defender 
11;Jannik;Vestergaard  ;29;defender 
7;Vitinha;Vitinha;21;midfielder
10;Matěj;Vydra  ;29;forward
11;Theo;Walcott  ;32;forward
17;Jake;Walker  ;20;midfielder
2;Kyle;Walker  ;31;defender 
11;Kyle;Walker-Peters  ;24;defender 
15;Christian;Walton  ;25;goalkeeper
3;Aaron;Wan-Bissaka  ;23;defender 
5;Danny;Ward  ;28;goalkeeper
14;Joel;Ward  ;31;defender 
11;James;Ward-Prowse  ;26;midfielder
17;Ollie;Watkins  ;25;forward
11;Caleb;Watts  ;19;midfielder
15;Adam;Webster  ;26;defender 
15;Jensen;Weir  ;19;midfielder
15;Danny;Welbeck  ;30;forward
12;Reece;Welch  ;18;defender 
4;Timo;Werner  ;25;forward
17;Wesley;Wesley;24;forward
10;Ashley;Westwood  ;31;midfielder
15;Ben;White  ;24;defender 
6;Alfie;Whiteman  ;23;goalkeeper
20;George;Wickens  ;19;goalkeeper
14;Connor;Wickham  ;28;forward
1;Georginio;Wijnaldum  ;30;midfielder
3;Brandon;Williams  ;21;defender 
1;Neco;Williams  ;20;defender 
1;Rhys;Williams  ;20;defender 
8;Willian;Willian;33;forward
7;Willian;José  ;29;forward
13;Joe;Willock  ;22;midfielder
13;Callum;Wilson  ;29;forward
6;Harry;Winks  ;25;midfielder
10;Chris;Wood  ;29;forward
1;Ben;Woodburn  ;22;forward
8;Granit;Xhaka  ;29;midfielder
15;Romaric;Yapi  ;21;defender 
16;Andrey;Yarmolenko  ;31;forward
19;Okay;Yokuşlu  ;27;midfielder
17;Brad;Young  ;19;forward
14;Wilfried;Zaha  ;28;forward
15;Andi;Zeqiri  ;22;forward
4;Karlo;Žiger  ;20;goalkeeper
2;Oleksandr;Zinchenko  ;24;defender 
4;Hakim;Ziyech  ;28;forward
4;Kurt;Zouma  ;26;defender 
17;Oliwier;Zych  ;17;goalkeeper
