TeamID;Games;Points;Wins;Draws;Loses;;;;;;;;
2;32;74;23;5;4;;;;;;;;
3;31;63;18;9;4;;;;;;;;
5;31;56;17;5;9;;;;;;;;
16;31;55;16;7;8;;;;;;;;
4;31;54;15;9;7;;;;;;;;
1;31;52;15;7;9;;;;;;;;
6;31;49;14;7;10;;;;;;;;
12;30;48;14;6;10;;;;;;;;
8;31;45;13;6;12;;;;;;;;
18;31;45;14;3;14;;;;;;;;
17;30;44;13;5;12;;;;;;;;
7;31;38;10;8;13;;;;;;;;
14;31;38;10;8;13;;;;;;;;
11;31;36;10;6;15;;;;;;;;
15;31;33;7;12;12;;;;;;;;
10;31;33;8;9;14;;;;;;;;
13;31;32;8;8;15;;;;;;;;
20;32;26;5;11;16;;;;;;;;
19;31;24;5;9;17;;;;;;;;
9;31;14;4;2;25;;;;;;;;
